date,sku,category,channel,price,discount_rate,units_sold,revenue,cogs,profit,marketing_spend,promotion_flag,inventory_level,day_of_week,month,quarter,is_weekend
2022-01-03,SKU-S02,Sports,In-Store,90.07,0.189,19,1711.33,808.55,888.32,144.64,1,105,0,1,1,0
2022-01-03,SKU-E05,Electronics,Mobile App,241.1,0.091,21,5063.1,2218.84,2819.95,243.08,0,158,0,1,1,0
2022-01-03,SKU-G03,Grocery,Mobile App,16.14,0.003,20,322.8,162.2,113.24,473.59,0,19,0,1,1,0
2022-01-03,SKU-B03,Beauty,Wholesale,42.32,0.008,26,1100.32,585.05,468.4,468.74,0,32,0,1,1,0
2022-01-03,SKU-B03,Beauty,In-Store,33.15,0.176,18,596.7,323.78,272.76,1.6,1,169,0,1,1,0
2022-01-03,SKU-E02,Electronics,In-Store,212.97,0.085,18,3833.46,2286.01,1540.33,71.16,0,141,0,1,1,0
2022-01-04,SKU-G04,Grocery,Online,14.22,0.103,15,213.3,102.63,76.19,344.8,0,176,1,1,1,0
2022-01-04,SKU-G01,Grocery,Online,12.74,0.113,29,369.46,188.44,163.43,175.88,0,85,1,1,1,0
2022-01-04,SKU-E03,Electronics,In-Store,175.71,0.297,25,4392.75,2388.04,1973.05,316.62,1,61,1,1,1,0
2022-01-04,SKU-E03,Electronics,Wholesale,168.85,0.276,23,3883.55,2054.81,1796.0,327.36,1,114,1,1,1,0
2022-01-04,SKU-A02,Apparel,Online,55.22,0.012,15,828.3,413.4,372.03,428.71,0,44,1,1,1,0
2022-01-04,SKU-G01,Grocery,Mobile App,9.74,0.391,10,97.4,56.97,3.96,364.66,1,80,1,1,1,0
2022-01-04,SKU-S03,Sports,Online,108.66,0.045,35,3803.1,2196.34,1587.54,192.18,0,38,1,1,1,0
2022-01-04,SKU-A01,Apparel,Wholesale,40.09,0.317,23,922.07,373.7,501.1,472.75,1,114,1,1,1,0
2022-01-04,SKU-E03,Electronics,In-Store,154.14,0.358,23,3545.22,1862.9,1643.29,390.31,1,78,1,1,1,0
2022-01-04,SKU-E03,Electronics,Online,228.33,0.109,18,4109.94,1693.47,2416.2,2.69,0,109,1,1,1,0
2022-01-04,SKU-A03,Apparel,Wholesale,47.93,0.161,24,1150.32,625.83,481.5,429.88,1,47,1,1,1,0
2022-01-04,SKU-H01,Home & Garden,Wholesale,54.98,0.347,32,1759.36,777.86,938.56,429.42,1,25,1,1,1,0
2022-01-04,SKU-B01,Beauty,Wholesale,29.8,0.248,27,804.6,473.92,305.55,251.31,1,117,1,1,1,0
2022-01-04,SKU-S02,Sports,Mobile App,103.79,0.16,14,1453.06,675.57,738.52,389.71,1,11,1,1,1,0
2022-01-04,SKU-S04,Sports,In-Store,77.58,0.287,15,1163.7,602.99,554.96,57.52,1,157,1,1,1,0
2022-01-04,SKU-H02,Home & Garden,In-Store,73.76,0.114,15,1106.4,469.86,619.76,167.82,0,137,1,1,1,0
2022-01-04,SKU-G01,Grocery,In-Store,11.92,0.224,17,202.64,98.73,58.74,451.74,1,156,1,1,1,0
2022-01-04,SKU-G03,Grocery,In-Store,12.61,0.072,16,201.76,81.0,72.72,480.38,0,67,1,1,1,0
2022-01-04,SKU-S04,Sports,Wholesale,98.7,0.195,28,2763.6,1492.16,1262.02,94.2,1,19,1,1,1,0
2022-01-05,SKU-S02,Sports,In-Store,119.7,0.075,15,1795.5,1064.0,709.93,215.72,0,160,2,1,1,0
2022-01-05,SKU-G01,Grocery,Online,13.31,0.083,13,173.03,87.97,70.1,149.57,0,162,2,1,1,0
2022-01-05,SKU-S03,Sports,Mobile App,113.04,0.006,16,1808.64,828.1,939.81,407.28,0,96,2,1,1,0
2022-01-05,SKU-B03,Beauty,Mobile App,42.0,0.016,17,714.0,373.67,329.38,109.52,0,28,2,1,1,0
2022-01-05,SKU-E05,Electronics,Mobile App,210.59,0.191,15,3158.85,1354.86,1801.27,27.23,1,24,2,1,1,0
2022-01-05,SKU-H03,Home & Garden,Wholesale,56.6,0.337,20,1132.0,657.79,455.51,186.96,1,108,2,1,1,0
2022-01-05,SKU-A04,Apparel,In-Store,40.11,0.288,19,762.09,455.25,287.19,196.5,1,36,2,1,1,0
2022-01-05,SKU-E02,Electronics,Wholesale,218.29,0.148,36,7858.44,4638.88,3203.99,155.69,0,143,2,1,1,0
2022-01-05,SKU-H01,Home & Garden,In-Store,75.13,0.023,22,1652.86,736.88,906.96,90.23,0,156,2,1,1,0
2022-01-05,SKU-E03,Electronics,Online,261.86,0.013,38,9950.68,5143.8,4783.63,232.5,0,134,2,1,1,0
2022-01-05,SKU-B02,Beauty,Online,28.49,0.319,15,427.35,170.97,229.31,270.67,1,114,2,1,1,0
2022-01-05,SKU-E03,Electronics,Wholesale,146.37,0.394,13,1902.81,1124.57,731.26,469.82,1,79,2,1,1,0
2022-01-05,SKU-A01,Apparel,In-Store,38.47,0.369,21,807.87,347.95,426.4,335.16,1,66,2,1,1,0
2022-01-05,SKU-S04,Sports,In-Store,99.06,0.181,16,1584.96,817.68,758.91,83.66,1,151,2,1,1,0
2022-01-05,SKU-H01,Home & Garden,Wholesale,64.17,0.151,23,1475.91,601.29,831.48,431.36,1,29,2,1,1,0
2022-01-05,SKU-B01,Beauty,In-Store,31.74,0.166,24,761.76,335.82,423.3,26.45,1,27,2,1,1,0
2022-01-05,SKU-E03,Electronics,In-Store,185.25,0.209,17,3149.25,1725.04,1388.35,358.65,1,38,2,1,1,0
2022-01-05,SKU-S02,Sports,Mobile App,111.55,0.119,20,2231.0,1128.77,1057.69,445.43,0,127,2,1,1,0
2022-01-05,SKU-A02,Apparel,In-Store,48.72,0.173,14,682.08,400.72,268.73,126.3,1,142,2,1,1,0
2022-01-05,SKU-S01,Sports,Wholesale,92.7,0.17,30,2781.0,1379.75,1381.96,192.93,1,80,2,1,1,0
2022-01-05,SKU-E05,Electronics,Mobile App,185.89,0.244,16,2974.24,1319.24,1628.94,260.63,1,175,2,1,1,0
2022-01-06,SKU-H02,Home & Garden,Online,56.82,0.31,25,1420.5,765.61,624.83,300.58,1,81,3,1,1,0
2022-01-06,SKU-G04,Grocery,Mobile App,12.35,0.167,15,185.25,90.11,81.8,133.4,1,117,3,1,1,0
2022-01-06,SKU-H02,Home & Garden,Wholesale,48.64,0.339,32,1556.48,882.12,659.1,152.56,1,145,3,1,1,0
2022-01-06,SKU-A02,Apparel,In-Store,52.66,0.184,15,789.9,319.99,455.75,141.56,1,170,3,1,1,0
2022-01-06,SKU-G03,Grocery,Wholesale,12.47,0.198,23,286.81,157.6,94.01,351.97,1,75,3,1,1,0
2022-01-06,SKU-H02,Home & Garden,In-Store,48.81,0.368,10,488.1,246.66,216.84,245.97,1,91,3,1,1,0
2022-01-06,SKU-S04,Sports,Mobile App,79.07,0.321,23,1818.61,1084.34,706.08,281.91,1,39,3,1,1,0
2022-01-06,SKU-H01,Home & Garden,Wholesale,69.78,0.126,25,1744.5,969.14,773.99,13.7,0,180,3,1,1,0
2022-01-06,SKU-S01,Sports,In-Store,115.55,0.035,21,2426.55,1145.29,1280.46,7.99,0,92,3,1,1,0
2022-01-06,SKU-H01,Home & Garden,Online,67.8,0.166,22,1491.6,880.18,576.55,348.69,1,148,3,1,1,0
2022-01-07,SKU-H01,Home & Garden,Online,59.12,0.3,13,768.56,420.44,306.25,418.66,1,100,4,1,1,0
2022-01-07,SKU-G02,Grocery,Mobile App,13.5,0.091,21,283.5,150.61,105.72,271.68,0,73,4,1,1,0
2022-01-07,SKU-B03,Beauty,Online,33.68,0.123,25,842.0,369.44,471.25,13.14,0,11,4,1,1,0
2022-01-07,SKU-H03,Home & Garden,Wholesale,76.79,0.12,23,1766.17,945.99,784.02,361.57,0,87,4,1,1,0
2022-01-07,SKU-E02,Electronics,Online,230.42,0.129,22,5069.24,2240.06,2780.27,489.11,0,127,4,1,1,0
2022-01-07,SKU-S04,Sports,Mobile App,88.49,0.269,14,1238.86,539.72,658.46,406.83,1,33,4,1,1,0
2022-01-07,SKU-S03,Sports,Online,105.18,0.161,21,2208.78,1204.85,971.79,321.42,1,158,4,1,1,0
2022-01-07,SKU-H01,Home & Garden,Mobile App,79.5,0.026,23,1828.5,1061.52,739.07,279.1,0,193,4,1,1,0
2022-01-07,SKU-S04,Sports,Wholesale,99.64,0.238,40,3985.6,1792.97,2185.03,76.03,1,91,4,1,1,0
2022-01-07,SKU-H03,Home & Garden,Wholesale,60.61,0.29,25,1515.25,903.84,584.45,269.6,1,165,4,1,1,0
2022-01-07,SKU-B02,Beauty,Wholesale,27.57,0.236,33,909.81,366.7,511.48,316.26,1,137,4,1,1,0
2022-01-07,SKU-G03,Grocery,In-Store,11.49,0.19,18,206.82,113.76,56.45,366.09,1,55,4,1,1,0
2022-01-07,SKU-H01,Home & Garden,In-Store,49.79,0.347,10,497.9,212.06,265.74,200.99,1,186,4,1,1,0
2022-01-08,SKU-E03,Electronics,Online,187.38,0.245,27,5059.26,2475.99,2552.81,304.6,1,117,5,1,1,1
2022-01-08,SKU-G04,Grocery,Online,9.16,0.386,17,155.72,72.87,35.5,473.52,1,107,5,1,1,1
2022-01-08,SKU-G01,Grocery,Online,11.3,0.265,21,237.3,115.43,84.7,371.68,1,168,5,1,1,1
2022-01-08,SKU-S04,Sports,In-Store,107.16,0.132,13,1393.08,583.2,777.01,328.71,0,97,5,1,1,1
2022-01-08,SKU-S01,Sports,Mobile App,101.51,0.096,20,2030.2,857.0,1147.48,257.24,0,134,5,1,1,1
2022-01-08,SKU-E01,Electronics,In-Store,160.69,0.302,26,4177.94,1754.72,2407.22,160.02,1,196,5,1,1,1
2022-01-08,SKU-H04,Home & Garden,In-Store,55.17,0.328,17,937.89,404.67,495.2,380.19,1,157,5,1,1,1
2022-01-08,SKU-S02,Sports,Mobile App,88.4,0.247,16,1414.4,753.37,645.59,154.37,1,66,5,1,1,1
2022-01-08,SKU-S03,Sports,Mobile App,99.14,0.16,17,1685.38,835.49,836.43,134.56,1,86,5,1,1,1
2022-01-08,SKU-H03,Home & Garden,Online,69.03,0.137,28,1932.84,815.48,1088.57,287.85,0,130,5,1,1,1
2022-01-08,SKU-A01,Apparel,Mobile App,35.62,0.37,16,569.92,237.63,321.16,111.26,1,98,5,1,1,1
2022-01-08,SKU-S03,Sports,Wholesale,96.15,0.199,22,2115.3,1179.09,891.39,448.24,1,18,5,1,1,1
2022-01-08,SKU-H04,Home & Garden,Online,71.39,0.165,12,856.68,507.16,337.5,120.21,1,39,5,1,1,1
2022-01-08,SKU-B03,Beauty,Mobile App,38.99,0.075,27,1052.73,566.56,473.71,124.61,0,168,5,1,1,1
2022-01-08,SKU-E03,Electronics,Wholesale,232.97,0.093,25,5824.25,2451.72,3333.08,394.55,0,192,5,1,1,1
2022-01-08,SKU-G02,Grocery,Mobile App,14.12,0.122,21,296.52,166.71,107.08,227.25,0,116,5,1,1,1
2022-01-08,SKU-H04,Home & Garden,In-Store,62.62,0.203,20,1252.4,589.28,628.44,346.81,1,33,5,1,1,1
2022-01-08,SKU-E01,Electronics,Wholesale,160.09,0.336,19,3041.71,1402.85,1633.67,51.89,1,16,5,1,1,1
2022-01-09,SKU-A02,Apparel,In-Store,52.95,0.195,17,900.15,379.02,514.38,67.47,1,74,6,1,1,1
2022-01-09,SKU-A04,Apparel,Wholesale,47.96,0.247,16,767.36,398.56,327.49,413.15,1,36,6,1,1,1
2022-01-09,SKU-S03,Sports,Wholesale,106.04,0.037,32,3393.28,1960.96,1398.35,339.74,0,114,6,1,1,1
2022-01-09,SKU-H01,Home & Garden,In-Store,54.09,0.251,19,1027.71,547.15,442.93,376.27,1,16,6,1,1,1
2022-01-09,SKU-B02,Beauty,In-Store,39.71,0.041,21,833.91,342.2,454.72,369.88,0,114,6,1,1,1
2022-01-09,SKU-G02,Grocery,Mobile App,12.03,0.216,26,312.78,127.4,142.16,432.22,1,114,6,1,1,1
2022-01-09,SKU-A01,Apparel,Wholesale,37.25,0.34,28,1043.0,450.69,545.21,470.99,1,136,6,1,1,1
2022-01-09,SKU-G02,Grocery,Mobile App,11.44,0.284,21,240.24,118.61,86.36,352.68,1,16,6,1,1,1
2022-01-09,SKU-S01,Sports,Online,77.79,0.3,23,1789.17,1025.08,747.22,168.67,1,66,6,1,1,1
2022-01-09,SKU-B02,Beauty,In-Store,30.84,0.256,18,555.12,292.5,229.55,330.67,1,62,6,1,1,1
2022-01-09,SKU-A03,Apparel,Mobile App,35.58,0.348,21,747.18,383.27,343.45,204.56,1,87,6,1,1,1
2022-01-09,SKU-S01,Sports,Online,112.95,0.1,22,2484.9,1368.04,1109.49,73.66,0,98,6,1,1,1
2022-01-09,SKU-B01,Beauty,Wholesale,40.65,0.036,27,1097.55,657.07,420.49,199.88,0,106,6,1,1,1
2022-01-09,SKU-A05,Apparel,Wholesale,61.13,0.009,32,1956.16,833.3,1119.18,36.81,0,60,6,1,1,1
2022-01-09,SKU-H02,Home & Garden,Wholesale,58.69,0.33,21,1232.49,651.76,540.22,405.11,1,10,6,1,1,1
2022-01-09,SKU-H01,Home & Garden,Online,44.58,0.382,15,668.7,393.3,243.02,323.8,1,156,6,1,1,1
2022-01-09,SKU-H04,Home & Garden,Mobile App,66.33,0.227,20,1326.6,610.79,701.55,142.56,1,181,6,1,1,1
2022-01-09,SKU-G03,Grocery,Mobile App,10.24,0.356,17,174.08,75.46,52.21,464.1,1,159,6,1,1,1
2022-01-09,SKU-E05,Electronics,In-Store,205.17,0.17,17,3487.89,1886.73,1584.37,167.86,1,46,6,1,1,1
2022-01-10,SKU-B03,Beauty,In-Store,35.24,0.138,21,740.04,411.76,304.39,238.86,0,87,0,1,1,0
2022-01-10,SKU-H01,Home & Garden,Wholesale,65.99,0.203,34,2243.66,1334.4,896.35,129.11,1,123,0,1,1,0
2022-01-10,SKU-B01,Beauty,Online,30.48,0.197,27,822.96,341.82,457.44,237.04,1,187,0,1,1,0
2022-01-10,SKU-A01,Apparel,Mobile App,56.72,0.049,27,1531.44,815.34,675.23,408.67,0,22,0,1,1,0
2022-01-10,SKU-E05,Electronics,Online,183.56,0.3,18,3304.08,1598.28,1690.33,154.7,1,33,0,1,1,0
2022-01-10,SKU-G01,Grocery,In-Store,10.31,0.331,15,154.65,65.39,49.49,397.73,1,37,0,1,1,0
2022-01-10,SKU-E04,Electronics,Wholesale,191.04,0.226,23,4393.92,1820.66,2524.79,484.67,1,187,0,1,1,0
2022-01-10,SKU-B03,Beauty,Online,36.19,0.045,25,904.75,453.47,446.75,45.34,0,95,0,1,1,0
2022-01-10,SKU-B03,Beauty,In-Store,35.18,0.101,15,527.7,300.0,202.67,250.33,0,91,0,1,1,0
2022-01-10,SKU-A04,Apparel,Wholesale,59.21,0.067,24,1421.04,604.38,802.32,143.41,0,39,0,1,1,0
2022-01-10,SKU-E03,Electronics,Online,213.13,0.108,32,6820.16,3662.43,3142.0,157.28,0,19,0,1,1,0
2022-01-10,SKU-H03,Home & Garden,Mobile App,67.54,0.161,18,1215.72,675.18,490.66,498.85,1,172,0,1,1,0
2022-01-10,SKU-G01,Grocery,Mobile App,11.55,0.257,14,161.7,82.33,43.84,355.33,1,140,0,1,1,0
2022-01-10,SKU-A02,Apparel,Online,42.13,0.281,17,716.21,296.52,375.74,439.55,1,29,0,1,1,0
2022-01-11,SKU-A03,Apparel,Mobile App,57.54,0.068,30,1726.2,849.94,849.33,269.33,0,154,1,1,1,0
2022-01-11,SKU-S02,Sports,Online,88.39,0.319,19,1679.41,910.42,734.06,349.29,1,72,1,1,1,0
2022-01-11,SKU-E05,Electronics,Mobile App,157.52,0.381,20,3150.4,1685.96,1420.42,440.16,1,166,1,1,1,0
2022-01-11,SKU-A03,Apparel,In-Store,55.21,0.158,17,938.57,444.39,458.79,353.88,1,153,1,1,1,0
2022-01-11,SKU-S01,Sports,Wholesale,94.12,0.234,16,1505.92,899.9,568.32,376.96,1,178,1,1,1,0
2022-01-11,SKU-E03,Electronics,Mobile App,160.32,0.335,34,5450.88,2389.31,3056.49,50.85,1,22,1,1,1,0
2022-01-11,SKU-A05,Apparel,Mobile App,55.34,0.094,18,996.12,511.1,485.01,0.09,0,37,1,1,1,0
2022-01-11,SKU-A01,Apparel,In-Store,51.32,0.153,24,1231.68,497.18,687.36,471.41,1,48,1,1,1,0
2022-01-11,SKU-G02,Grocery,Online,15.36,0.037,28,430.08,237.16,169.99,229.31,0,38,1,1,1,0
2022-01-11,SKU-H02,Home & Garden,Wholesale,61.37,0.204,36,2209.32,1257.15,915.5,366.68,1,189,1,1,1,0
2022-01-11,SKU-A04,Apparel,Online,56.82,0.137,23,1306.86,568.6,710.47,277.93,0,198,1,1,1,0
2022-01-12,SKU-S03,Sports,Mobile App,117.68,0.038,31,3648.08,2118.12,1491.27,386.88,0,145,2,1,1,0
2022-01-12,SKU-S04,Sports,Online,103.55,0.12,24,2485.2,1027.66,1409.11,484.29,0,131,2,1,1,0
2022-01-12,SKU-S04,Sports,Wholesale,89.53,0.204,27,2417.31,1386.06,996.78,344.66,1,169,2,1,1,0
2022-01-12,SKU-A04,Apparel,Mobile App,37.16,0.399,17,631.72,363.01,241.68,270.34,1,134,2,1,1,0
2022-01-12,SKU-S03,Sports,Online,107.73,0.161,13,1400.49,823.72,569.36,74.11,1,148,2,1,1,0
2022-01-12,SKU-E02,Electronics,Mobile App,160.51,0.394,28,4494.28,2309.63,2181.16,34.91,1,83,2,1,1,0
2022-01-12,SKU-H04,Home & Garden,Wholesale,78.26,0.029,30,2347.8,1079.56,1267.28,9.59,0,163,2,1,1,0
2022-01-12,SKU-E01,Electronics,Online,182.03,0.212,17,3094.51,1629.12,1448.72,166.66,1,125,2,1,1,0
2022-01-12,SKU-G02,Grocery,In-Store,12.82,0.121,18,230.76,114.57,104.56,116.28,0,135,2,1,1,0
2022-01-12,SKU-B01,Beauty,Mobile App,36.92,0.118,21,775.32,333.51,409.7,321.09,0,130,2,1,1,0
2022-01-12,SKU-H04,Home & Garden,Wholesale,44.35,0.394,25,1108.75,657.78,412.72,382.47,1,182,2,1,1,0
2022-01-12,SKU-H04,Home & Garden,Wholesale,74.51,0.048,28,2086.28,1211.04,869.63,56.09,0,156,2,1,1,0
2022-01-12,SKU-B03,Beauty,In-Store,28.6,0.339,15,429.0,245.21,143.54,402.49,1,162,2,1,1,0
2022-01-12,SKU-B01,Beauty,Mobile App,28.61,0.269,17,486.37,223.0,252.68,106.95,1,15,2,1,1,0
2022-01-12,SKU-S02,Sports,Online,124.31,0.022,17,2113.27,1139.26,953.29,207.24,0,123,2,1,1,0
2022-01-13,SKU-G03,Grocery,Mobile App,12.43,0.237,28,348.04,208.07,129.31,106.58,1,196,3,1,1,0
2022-01-13,SKU-B03,Beauty,In-Store,40.76,0.0,27,1100.52,597.05,459.27,442.04,0,148,3,1,1,0
2022-01-13,SKU-B03,Beauty,Online,36.7,0.06,30,1101.0,481.11,594.12,257.71,0,154,3,1,1,0
2022-01-13,SKU-H04,Home & Garden,Wholesale,68.93,0.085,17,1171.81,562.8,587.59,214.17,0,21,3,1,1,0
2022-01-13,SKU-H02,Home & Garden,Wholesale,72.99,0.144,32,2335.68,1110.22,1184.36,410.98,0,36,3,1,1,0
2022-01-13,SKU-H01,Home & Garden,Online,46.13,0.384,13,599.69,352.48,238.04,91.71,1,131,3,1,1,0
2022-01-13,SKU-A04,Apparel,Online,43.59,0.33,15,653.85,320.84,295.68,373.27,1,172,3,1,1,0
2022-01-13,SKU-A05,Apparel,Online,62.7,0.01,14,877.8,401.26,474.61,19.27,0,14,3,1,1,0
2022-01-13,SKU-G02,Grocery,Online,14.85,0.069,27,400.95,181.58,193.34,260.3,0,22,3,1,1,0
2022-01-13,SKU-B01,Beauty,Wholesale,26.62,0.319,31,825.22,385.12,423.41,166.94,1,22,3,1,1,0
2022-01-13,SKU-G04,Grocery,Wholesale,11.75,0.166,23,270.25,118.2,104.12,479.35,1,92,3,1,1,0
2022-01-13,SKU-B01,Beauty,In-Store,37.47,0.144,21,786.87,415.19,338.48,331.99,0,30,3,1,1,0
2022-01-13,SKU-A02,Apparel,Wholesale,53.41,0.05,27,1442.07,861.28,579.02,17.73,0,110,3,1,1,0
2022-01-13,SKU-S03,Sports,Wholesale,103.0,0.169,16,1648.0,714.58,912.22,211.97,1,78,3,1,1,0
2022-01-13,SKU-G04,Grocery,Online,12.64,0.075,37,467.68,255.59,199.35,127.44,0,167,3,1,1,0
2022-01-13,SKU-A03,Apparel,In-Store,39.28,0.279,18,707.04,367.79,329.08,101.73,1,198,3,1,1,0
2022-01-13,SKU-E02,Electronics,Mobile App,188.63,0.304,14,2640.82,1575.34,1053.67,118.13,1,13,3,1,1,0
2022-01-13,SKU-H04,Home & Garden,Online,60.73,0.231,21,1275.33,617.7,627.74,298.86,1,173,3,1,1,0
2022-01-13,SKU-E02,Electronics,Wholesale,211.96,0.136,22,4663.12,2646.08,1984.8,322.4,0,190,3,1,1,0
2022-01-13,SKU-E01,Electronics,Wholesale,160.23,0.352,32,5127.36,2815.08,2279.28,330.03,1,60,3,1,1,0
2022-01-14,SKU-B01,Beauty,Wholesale,26.26,0.319,24,630.24,366.96,226.09,371.95,1,129,4,1,1,0
2022-01-14,SKU-S04,Sports,Wholesale,74.99,0.367,29,2174.71,1067.92,1101.23,55.64,1,144,4,1,1,0
2022-01-14,SKU-B01,Beauty,In-Store,28.14,0.327,19,534.66,304.38,187.41,428.7,1,193,4,1,1,0
2022-01-14,SKU-A04,Apparel,Online,46.6,0.293,18,838.8,458.68,362.47,176.51,1,40,4,1,1,0
